Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PA220KH-lib09-P19-Tumor_S2_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0010905244331999259)	(3, 0.0014260704126460568)	(4, 0.0016357866497998888)	(5, 0.0018455028869537207)	(6, 0.0035232327841843757)	(7, 0.007927273764414846)	(8, 0.007927273764414846)	(9, 0.00834670623872251)	(10, 0.011685388734211512)	(15, 0.01567838588962047)	(20, 0.01707929035380807)	(25, 0.022791960653878448)	(30, 0.036725507450379044)	(35, 0.09098329232681843)	(40, 0.13211284075742794)	(45, 0.1478499471934515)	(50, 0.15753044870047236)	(55, 0.17462651635325274)	(60, 0.1969319353369343)	(65, 0.21960645489800662)	(70, 0.24933582867693382)	(75, 0.29033115871576487)	(80, 0.3637653963175506)	(85, 0.4294401331446446)	(90, 0.48727987135167145)	(95, 0.6246440066874314)	(100, 0.710166288198764)	(105, 0.8112914577543417)	(110, 0.9239845749513249)	(115, 1.0994751222016514)	(120, 2.0454631247551562)	(125, 7.655447966465536)	(130, 19.35823475971133)	(135, 31.043690603118733)	(140, 41.94849033669522)
PA220KH-lib09-P19-Tumor_S2_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.194324743076638e-05)	(5, 4.194324743076638e-05)	(6, 4.194324743076638e-05)	(7, 8.388649486153276e-05)	(8, 8.388649486153276e-05)	(9, 8.388649486153276e-05)	(10, 0.00011744109280614585)	(15, 0.00012582974229229912)	(20, 0.00012582974229229912)	(25, 0.0001761616392092188)	(30, 0.0004949303196830433)	(35, 0.001098913082686079)	(40, 0.10068895978229778)	(45, 0.16571777059895795)	(50, 0.17382120600258202)	(55, 0.18041468449869852)	(60, 0.18301516583940602)	(65, 0.18476839358201205)	(70, 0.19127798558326697)	(75, 0.19834122845060803)	(80, 0.204959872895183)	(85, 0.21304653099983475)	(90, 0.21534502095904076)	(95, 0.22419504616693248)	(100, 0.23553650027221168)	(105, 0.2718341865987969)	(110, 0.3377941375084201)	(115, 0.35505797815092355)	(120, 0.3663155457613413)	(125, 0.3816080537745986)	(130, 0.405104660985314)	(135, 0.43024544349531535)	(140, 0.44820554204516955)
PA220KH-lib09-P19-Tumor_S2_L001_R2_001 - illumina_universal_adapter	(1, 4.194324743076638e-05)	(2, 0.0011324676806306923)	(3, 0.0014680136600768233)	(4, 0.0016777298972306552)	(5, 0.0018874461343844871)	(6, 0.0034812895367536093)	(7, 0.007927273764414846)	(8, 0.007927273764414846)	(9, 0.008304762991291743)	(10, 0.011593113589863828)	(15, 0.015552556147328173)	(20, 0.01695346061151577)	(25, 0.02271646280850307)	(30, 0.036515791213225214)	(35, 0.09175504807954452)	(40, 0.1335556884690463)	(45, 0.14975417062680826)	(50, 0.1595521132266353)	(55, 0.17686628576605568)	(60, 0.19937303233740492)	(65, 0.22186300160978184)	(70, 0.25056896015139835)	(75, 0.29140490584999246)	(80, 0.36473847965794437)	(85, 0.4294149671961861)	(90, 0.4868101069804469)	(95, 0.6229662767902008)	(100, 0.7065256143217735)	(105, 0.8020639433195731)	(110, 0.9018217630089079)	(115, 1.072312675165487)	(120, 2.0010368370764886)	(125, 7.517807005696733)	(130, 18.98959555804232)	(135, 30.44073964400249)	(140, 40.72320224950025)
PA220KH-lib09-P19-Tumor_S2_L001_R2_001 - polyg	(1, 0.036029249543028316)	(2, 0.03640673876990522)	(3, 0.03649062526476675)	(4, 0.03695200098650518)	(5, 0.03728754696595131)	(6, 0.037455319955674374)	(7, 0.03770697944025898)	(8, 0.0382941849042897)	(9, 0.03951053907978193)	(10, 0.04784046801953213)	(15, 0.04956014116419355)	(20, 0.051690858133676486)	(25, 0.0613294163932666)	(30, 0.09256035843021523)	(35, 0.1457863394198578)	(40, 0.44755122738524955)	(45, 0.6225132897179484)	(50, 0.6394248070820334)	(55, 0.6512695801564818)	(60, 0.6562776038997153)	(65, 0.6669647433450747)	(70, 0.6693219538506838)	(75, 0.6705718626241206)	(80, 0.677819655780157)	(85, 0.6886494022667808)	(90, 0.6951002737216327)	(95, 0.6998985812277124)	(100, 0.7078426322910996)	(105, 0.7204172178708433)	(110, 0.7660430824260309)	(115, 0.8220037631481596)	(120, 0.8402658530795153)	(125, 0.8552899243092156)	(130, 0.8746928705706882)	(135, 0.9012093915964187)	(140, 0.913481985794661)
PA221MH-lib09-P19-Norm_S1_L001_R1_001 - illumina_universal_adapter	(1, 0.0007378864291811558)	(2, 0.004660335342196773)	(3, 0.005670074666339408)	(4, 0.007689553314624676)	(5, 0.009786704218613223)	(6, 0.016311173697688707)	(7, 0.03716617435401927)	(8, 0.037865224655348785)	(9, 0.03829242206171682)	(10, 0.04807135905475972)	(15, 0.06348153458629038)	(20, 0.07114778622420406)	(25, 0.1076615136303158)	(30, 0.17300718235348486)	(35, 0.3200718313020744)	(40, 0.4237409909892416)	(45, 0.46998705203497426)	(50, 0.5080697590062921)	(55, 0.5677608875142626)	(60, 0.6417514782972067)	(65, 0.7000212045258071)	(70, 0.7707728622459243)	(75, 0.8613231779448076)	(80, 1.003292526919262)	(85, 1.1280885401577212)	(90, 1.2427250223501916)	(95, 1.4700328786658392)	(100, 1.5924288192030673)	(105, 1.728487309518502)	(110, 1.8853774988135565)	(115, 2.1236604448600773)	(120, 3.265473672600568)	(125, 9.242804248051009)	(130, 21.778826698439797)	(135, 33.98673047183565)	(140, 44.87553409384828)
PA221MH-lib09-P19-Norm_S1_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.000349525150664758)	(5, 0.000349525150664758)	(6, 0.0005048696620713171)	(7, 0.0006213780456262364)	(8, 0.0006602141734778763)	(9, 0.000699050301329516)	(10, 0.0007922570081734515)	(15, 0.0008543948127360751)	(20, 0.0010563426775646021)	(25, 0.002003944197144613)	(30, 0.002477744956934618)	(35, 0.003169028032693806)	(40, 0.09605727862824583)	(45, 0.15594258777547437)	(50, 0.16391176121063084)	(55, 0.17102653983305124)	(60, 0.17414119728675276)	(65, 0.17611407258161607)	(70, 0.20528000459819756)	(75, 0.23842275610678687)	(80, 0.266749827761773)	(85, 0.28644751180812467)	(90, 0.2981527207426089)	(95, 0.3286701500084274)	(100, 0.37860564320006584)	(105, 0.5080386901040109)	(110, 0.6546140038416699)	(115, 0.7109496909032584)	(120, 0.7492421129649752)	(125, 0.8020592468432053)	(130, 0.880515992329088)	(135, 0.9464053668421801)	(140, 0.9857774332581725)
PA221MH-lib09-P19-Norm_S1_L001_R2_001 - illumina_universal_adapter	(1, 0.0008543948127360751)	(2, 0.004854515981454972)	(3, 0.005941927561300886)	(4, 0.007961406209586155)	(5, 0.009980884857871422)	(6, 0.016272337569837068)	(7, 0.03724384660972255)	(8, 0.037942896911052064)	(9, 0.03840893044527174)	(10, 0.04803252292690808)	(15, 0.06321744891689923)	(20, 0.07092253668266457)	(25, 0.10744403131434661)	(30, 0.17354312091783752)	(35, 0.3236136861621439)	(40, 0.42920911779075255)	(45, 0.47616976358895535)	(50, 0.5142990739136952)	(55, 0.5737494184289854)	(60, 0.6479341898511878)	(65, 0.705706813643287)	(70, 0.7745555010986741)	(75, 0.8649815411884321)	(80, 1.0118753111744745)	(85, 1.1388461475726255)	(90, 1.251828210718616)	(95, 1.477800104236167)	(100, 1.5977493687187418)	(105, 1.7274309668409373)	(110, 1.8657652542484784)	(115, 2.097368386304517)	(120, 3.2158333339806022)	(125, 9.07705942160578)	(130, 21.366270512271825)	(135, 33.33825257619454)	(140, 43.629632276239825)
PA221MH-lib09-P19-Norm_S1_L001_R2_001 - polyg	(1, 0.06439029997801875)	(2, 0.06450680836157367)	(3, 0.0645456444894253)	(4, 0.06485633351223843)	(5, 0.0651281864071999)	(6, 0.06528353091860646)	(7, 0.06547771155786467)	(8, 0.06644861475415566)	(9, 0.06769137084540813)	(10, 0.08121411056334911)	(15, 0.08388603615954192)	(20, 0.08839879421590247)	(25, 0.10308661776939262)	(30, 0.1384973991445178)	(35, 0.19236310847474214)	(40, 0.4608760964409796)	(45, 0.6158089448923112)	(50, 0.6315997144767881)	(55, 0.6423184857638405)	(60, 0.6464040464138331)	(65, 0.6609054565536354)	(70, 0.6637948644657975)	(75, 0.6675075982884142)	(80, 0.6931006065426448)	(85, 0.7252258515015212)	(90, 0.7440147701561445)	(95, 0.7568229251216153)	(100, 0.789569548126118)	(105, 0.8463013636917933)	(110, 0.9837890235121683)	(115, 1.114177439161264)	(120, 1.1660625059710548)	(125, 1.2090463322772496)	(130, 1.2680384104838904)	(135, 1.3503787687549371)	(140, 1.384740974678068)
